Autore,Titolo,Editore,Genere,Scaffale,ISBN,Copertina,Note
Fulton J. Sheen,Dio e l'intelligenza,Borla,Scienza e matematica,1,,,
,Ultime lettere da Stalingrado,Einaudi,Storia e politica,1,,,
Nicolas Bourbaki,Elementi di storia della matematica,Feltrinelli,Scienza e matematica,1,,,
Giancarlo Vigorelli,Il Gesuita proibito,Il Saggiatore,Religione e spiritualità,1,,,da verificare
Carlo Levi,Cristo si è fermato a Eboli,Einaudi,Letteratura italiana,1,,,
Bertolt Brecht,Vita di Galileo,Einaudi,"Biografie, diari e memorie",1,,,
Luca Pietromarchi,Il mondo sovietico,Bompiani,Storia e politica,1,,,
Primo Mazzolari,"Mazzolari, antologia dei suoi scritti",Borla,Religione e spiritualità,1,,,
,Fortuna di Galileo,,Saggistica varia,1,,,da verificare
A. Daniel,(titolo non identificato),,Saggistica varia,1,,,dorso poco leggibile
,La storia di Albert Schweitzer,Fratelli Fabbri Editori,Storia e politica,1,,,
Dominique Fernandez,Madre Mediterranea,Mondadori,Saggistica varia,1,,,da verificare
Edgar Lee Masters,Antologia di Spoon River,Einaudi,Saggistica varia,1,,,
,I disperati del Don,,Saggistica varia,1,,,autore da verificare
Giulio Bevilacqua,Mondo moderno e Cristo,Morcelliana,Letteratura italiana,1,,,
Richard Wright,Ragazzo negro,Einaudi,Saggistica varia,1,,,
Dino Buzzati,"(romanzo, titolo coperto)",Einaudi,Letteratura italiana,1,,,titolo da verificare
Graham Greene,Il nostro agente all'Avana,Einaudi,Saggistica varia,1,,,
Giovanni Verga,I Malavoglia,Einaudi,Letteratura italiana,1,,,
Guy de Maupassant,Una vita,Einaudi,Saggistica varia,1,,,
Riccardo Bacchelli,Il diavolo al Pontelungo,Einaudi,Letteratura italiana,1,,,
Cesare Pavese,La bella estate,Einaudi,Letteratura italiana,1,,,
George Bernard Shaw,La professione della signora Warren - Cesare e Cleopatra - La miliardaria,Einaudi,Saggistica varia,1,,,
Riccardo Bacchelli,La città degli amanti,Einaudi,Letteratura italiana,1,,,
Angelo Iachino,Tramonto di una grande marina,Mondadori,Saggistica varia,1,,,
Antonino Trizzino,Navi e poltrone,Longanesi,Saggistica varia,1,,,
Antonio Gramsci,Lettere dal carcere,Einaudi,Storia e politica,1,,,
Luigi Barzini,Gli italiani,Mondadori,Storia e politica,1,,,
Erasmo da Rotterdam,Elogio della follia,Mursia,Saggistica varia,1,,,
Alfred Ancel,Cinque anni con gli operai,,Saggistica varia,1,,,editore da verificare
C. Northcote Parkinson,La legge di Parkinson,Bompiani,Saggistica varia,1,,,
Dino Buzzati,Il deserto dei Tartari,Mondadori,Letteratura italiana,1,,,
Carlos Fuentes,Cambio di pelle,Feltrinelli,Letteratura straniera,1,,,
Fëdor Dostoevskij,Delitto e castigo,Sansoni,Letteratura straniera,1,,,
Giuseppe Fiori,Vita di Antonio Gramsci,Laterza,Storia e politica,2,,,
Jean-François Steiner,Treblinka,Mondadori,Storia e politica,2,,,
,Beethoven,,"Arte, musica e fotografia",2,,,autore/editore da verificare
Albert Ducrocq,Il romanzo della materia,Einaudi,Saggistica varia,2,,,
James Parkes,Gli ebrei e la diaspora,Mondadori,Ebraismo e Israele,2,,,
,"Un passo, un altro passo",Mondadori,Saggistica varia,2,,,autore da verificare
Ivo Andrić,Il ponte sulla Drina,Mondadori,Letteratura straniera,2,,,
Pinchas E. Lapide,Roma e gli ebrei,Mondadori,Ebraismo e Israele,2,,,
,Lettere di condannati a morte della Resistenza europea,Einaudi,Storia e politica,2,,,
Massimo Mila,L'esperienza musicale e l'estetica,Einaudi,"Arte, musica e fotografia",2,,,
Ignazio Silone,L'avventura d'un povero cristiano,Mondadori,Letteratura italiana,2,,,
C.W. Ceram,(titolo da verificare),Einaudi,Saggistica varia,2,,,da verificare
Léon Poliakov,Il nazismo e lo sterminio degli ebrei,Einaudi,Ebraismo e Israele,2,,,
Jean-Jacques Servan-Schreiber,La sfida americana,Etas Kompass,Saggistica varia,2,,,da verificare
Robert Jungk,Gli apprendisti stregoni. Storia degli scienziati atomici,Einaudi,Scienza e matematica,2,,,
Panfilo Gentile,Opinioni sgradevoli,,Saggistica varia,2,,,editore da verificare
Enrico Emanuelli,Curriculum mortis,Feltrinelli,Saggistica varia,2,,,da verificare
Lorenzo Milani,Esperienze pastorali,Libreria Editrice Fiorentina,Religione e spiritualità,2,,,
Lorenzo Milani,L'obbedienza non è più una virtù,Libreria Editrice Fiorentina,Religione e spiritualità,2,,,
A.S. Neill,Summerhill,,Saggistica varia,2,,,editore da verificare
Martin Luther King,Oltre il Vietnam,,Storia e politica,2,,,da verificare
Martin Luther King,Lettere dal carcere,,"Biografie, diari e memorie",2,,,da verificare
,"Il ... la Signora, la Chiesa e i Poveri",,Religione e spiritualità,2,,,dorso poco leggibile
Peter G. Bergmann,L'enigma della gravitazione,Mondadori,Scienza e matematica,2,,,
Oriana Fallaci,Niente e così sia,Rizzoli,Saggistica varia,2,,,
Guido Piovene,Le stelle fredde,Mondadori,Saggistica varia,2,,,
Elio Vittorini,Le città del mondo,Einaudi,Saggistica varia,2,,,
,Inumane vite,,Saggistica varia,2,,,da verificare
Roger Garaudy,Tutta la verità,,Saggistica varia,2,,,editore da verificare
Ignazio Silone,Fontamara,Mondadori,Letteratura italiana,2,,,
Vincenzo e Luigi Pappalettera,La parola agli aguzzini,Mondadori,Storia e politica,2,,,
Alberto Moravia,Il Paradiso,Bompiani,Letteratura italiana,3,,,
Ignazio Silone,Vino e pane,Mondadori,Letteratura italiana,3,,,Oscar Mondadori
Ignazio Silone,Il segreto di Luca,Mondadori,Letteratura italiana,3,,,Oscar Mondadori
,Lettere di don Lorenzo Milani priore di Barbiana,Mondadori,Saggistica varia,3,,,
,(Cultura Editrice - titolo da verificare),Cultura Editrice,Saggistica varia,3,,,dorso poco leggibile
Roger Garaudy,(titolo da verificare),Sansoni Accademia,Saggistica varia,3,,,da verificare
Aleksandr Solženicyn,Una giornata di Ivan Denisovič,Garzanti,Saggistica varia,3,,,
Emilio Lussu,Un anno sull'Altipiano,Einaudi,Saggistica varia,3,,,da verificare
Artur London,La confessione,,"Biografie, diari e memorie",3,,,da verificare
Aleksandr Solženicyn,Reparto C,,Saggistica varia,3,,,editore da verificare
Mario Lodi,Il paese sbagliato,Einaudi,Saggistica varia,3,,,
Basil Davidson,La liberazione della Guinea,Einaudi,Saggistica varia,3,,,
,Storia del popolo ebraico,Einaudi,Ebraismo e Israele,3,,,autore da verificare
Beppe Fenoglio,Un giorno di fuoco,Garzanti,Letteratura italiana,3,,,
Aleksandr Solženicyn,Il primo cerchio,Mondadori,Saggistica varia,3,,,da verificare
Aleksandr Solženicyn,La casa di Matriona,,Saggistica varia,3,,,editore da verificare
Raffaello Brignetti,La spiaggia d'oro,Rizzoli,Letteratura italiana,3,,,
Arthur M. Schlesinger Jr.,Crisi di fiducia,Rizzoli,Letteratura straniera,3,,,
Enzo Biagi,Testimone del tempo,SEI,Storia e politica,3,,,da verificare
Luigi Santucci,Il velocifero,Mondadori,Letteratura italiana,3,,,Oscar Mondadori
,L'altra faccia del ...,Einaudi,Saggistica varia,3,,,dorso poco leggibile
Lodovico Montini,Giorno per giorno tra i protagonisti di un'epoca 1944-1970,Vallecchi,Storia e politica,3,,,
Aleksandr Solženicyn,Agosto 1914,Mondadori,Saggistica varia,3,,,
Frei Betto (C.A. Libânio Christo),Dai sotterranei della storia,,Religione e spiritualità,3,,,editore da verificare
Edward de Bono,Il meccanismo della mente,Rizzoli,Filosofia,3,,,
Paulo Freire,La pedagogia degli oppressi,Mondadori,Saggistica varia,3,,,da verificare
